,company,href,id,name,location.city,location.country,location.latitude,location.longitude,source,gbfs_href,license.name,license.url,ebikes
28,"['PBSC', 'Alta Bicycle Share, Inc']",/v2/networks/we-cycle,we-cycle,WE-cycle,"Aspen, CO",US,39.194951,-106.837002,,https://asp.publicbikesystem.net/ube/gbfs/v1/gbfs.json,,,
81,"['BCycle, LLC']",/v2/networks/austin,austin,Austin B-cycle,"Austin, TX",US,30.26408,-97.74355,,https://gbfs.bcycle.com/bcycle_austin/gbfs.json,,,
82,"['Motivate International, Inc', 'PBSC']",/v2/networks/bike-chattanooga,bike-chattanooga,Bike Chattanooga,"Chattanooga, TN",US,35.0456297,-85.3096801,,https://chat.publicbikesystem.net/ube/gbfs/v1/,,,True
85,"['Portland Bureau of Transportation (PBOT)', 'Lyft Inc.']",/v2/networks/biketown,biketown,BIKETOWN,"Portland, OR",US,45.52175423291714,-122.68107935786247,,https://gbfs.biketownpdx.com/gbfs/gbfs.json,,,
87,"['BCycle, LLC']",/v2/networks/boulder,boulder,Boulder B-cycle,"Boulder, CO",US,40.00811,-105.26385,,https://gbfs.bcycle.com/bcycle_boulder/gbfs.json,,,
89,"['BCycle, LLC']",/v2/networks/broward,broward,Broward B-cycle,"Fort Lauderdale, FL",US,26.12026,-80.14819,,https://gbfs.bcycle.com/bcycle_broward/gbfs.json,,,
90,"['BCycle, LLC']",/v2/networks/bublr-bikes,bublr-bikes,Bublr Bikes,"Milwaukee, WI",US,43.0369,-87.89667,,https://gbfs.bcycle.com/bcycle_bublr/gbfs.json,,,
91,"['Shared Mobility Inc.', 'Social Bicycles Inc.']",/v2/networks/reddy-bike-share,reddy-bike-share,Reddy Bike Share,"Buffalo, NY",US,42.89373841865211,-78.8718044757843,,https://reddybikeshare.socialbicycles.com/opendata/gbfs.json,,,
92,"['Motivate International, Inc.', 'PBSC Urban Solutions']",/v2/networks/capital-bikeshare,capital-bikeshare,Capital BikeShare,"Washington, DC",US,38.8967584,-77.03701629999999,,https://gbfs.capitalbikeshare.com/gbfs/gbfs.json,,,True
93,"['BCycle, LLC']",/v2/networks/charlotte,charlotte,Charlotte B-cycle,"Charlotte, NC",US,35.22716,-80.83855,,https://gbfs.bcycle.com/bcycle_charlotte/gbfs.json,,,
95,"['BCycle, LLC']",/v2/networks/cincy-red-bike,cincy-red-bike,Cincy Red Bike,"Cincinnati, OH",US,39.10138,-84.51217,,https://gbfs.bcycle.com/bcycle_cincyredbike/gbfs.json,,,
97,"['NYC Bike Share, LLC', 'Motivate International, Inc.', 'PBSC Urban Solutions']",/v2/networks/citi-bike-nyc,citi-bike-nyc,Citi Bike,"New York, NY",US,40.7143528,-74.00597309999999,,https://gbfs.citibikenyc.com/gbfs/gbfs.json,,,True
99,"['Motivate International, Inc.', 'PBSC Urban Solutions']",/v2/networks/cogo,cogo,CoGo,"Columbus, OH",US,39.983333,-82.983333,,https://gbfs.cogobikeshare.com/gbfs/gbfs.json,,,True
100,['Lyft Inc.'],/v2/networks/denver,denver,Lyft,"Denver, CO",US,39.72055,-104.95253,,https://s3.amazonaws.com/lyft-lastmile-production-iad/lbs/den/gbfs.json,,,
101,"['Motivate International, Inc.', 'PBSC Urban Solutions']",/v2/networks/divvy,divvy,Divvy,"Chicago, IL",US,41.8781136,-87.6297982,,https://gbfs.divvybikes.com/gbfs/gbfs.json,,,True
103,"['BCycle, LLC']",/v2/networks/elpaso,elpaso,El Paso B-cycle,"El Paso, TX",US,31.76148,-106.48507,,https://gbfs.bcycle.com/bcycle_elpaso/gbfs.json,,,
104,"['BCycle, LLC']",/v2/networks/fortworth,fortworth,Fort Worth Bike Sharing,"Fort Worth, TX",US,32.7516,-97.32888,,https://gbfs.bcycle.com/bcycle_fortworth/gbfs.json,,,
106,"['BCycle, LLC']",/v2/networks/greenbikeslc,greenbikeslc,GREENbike,Salt Lake City,US,40.76745,-111.88736,,https://gbfs.bcycle.com/bcycle_greenbikeslc/gbfs.json,,,
107,"['BCycle, LLC']",/v2/networks/omaha,omaha,Heartland B-cycle,"Omaha, NE",US,41.25832,-96.00853,,https://gbfs.bcycle.com/bcycle_heartland/gbfs.json,,,
108,"['BCycle, LLC']",/v2/networks/houston,houston,Houston B-cycle,"Houston, TX",US,29.75983,-95.36949,,https://gbfs.bcycle.com/bcycle_houston/gbfs.json,,,
109,"['Motivate International, Inc.', 'PBSC Urban Solutions']",/v2/networks/blue-bikes,blue-bikes,Blue Bikes,"Boston, MA",US,42.3584308,-71.0597732,,https://gbfs.bluebikes.com/gbfs/gbfs.json,,,True
111,"['City of Philadelphia', 'Bicycle Transit Systems', 'BCycle, LLC']",/v2/networks/indego,indego,Indego,"Philadelphia, PA",US,39.95378,-75.16374,,https://gbfs.bcycle.com/bcycle_indego/gbfs.json,,,
112,"['BCycle, LLC']",/v2/networks/indiana-pacers-bikeshare,indiana-pacers-bikeshare,Indiana Pacers Bikeshare,"Indianapolis, IN",US,39.76593,-86.16216,,https://gbfs.bcycle.com/bcycle_pacersbikeshare/gbfs.json,,,
114,"['BCycle, LLC']",/v2/networks/madison,madison,B-cycle,"Madison, WI",US,43.07571,-89.38527,,https://gbfs.bcycle.com/bcycle_madison/gbfs.json,,,
115,"['Los Angeles County Metropolitan Transportation Authority (Metro)', 'Bicycle Transit Systems', 'BCycle, LLC']",/v2/networks/metro-bike-share,metro-bike-share,Metro Bike Share,"Los Angeles, CA",US,34.04855,-118.25905,,https://gbfs.bcycle.com/bcycle_lametro/gbfs.json,,,
116,"['Nice Ride Minnesota', 'Lyft']",/v2/networks/nice-ride,nice-ride,Nice Ride,"Minneapolis, MN",US,44.983334,-93.26666999999999,,https://gbfs.niceridemn.com/gbfs/gbfs.json,,,
118,"['BCycle, LLC']",/v2/networks/sanantonio,sanantonio,SWell Cycle,"San Antonio, TX",US,29.43701,-98.48236,,https://gbfs.bcycle.com/bcycle_sanantonio/gbfs.json,,,
120,['Social Bicycles Inc.'],/v2/networks/sobi-long-beach,sobi-long-beach,SoBi,"Long Beach, CA",US,33.76897,-118.19164,,https://www.longbeachbikeshare.com/opendata/gbfs.json,,,
122,['CycleHop LLC'],/v2/networks/relay-atlanta,relay-atlanta,HOPR,"Atlanta, GA",US,33.7627941119619,-84.38727110624313,,https://gbfs.hopr.city/api/gbfs/20/,,,
234,"['BCycle, LLC']",/v2/networks/desmoines,desmoines,Des Moines B-cycle,"Des Moines, IA",US,41.6005448,-93.6091064,,https://gbfs.bcycle.com/bcycle_desmoines/gbfs.json,,,
236,"['BCycle, LLC']",/v2/networks/greenville,greenville,Greenville B-cycle,"Greenville, SC",US,34.85261759999999,-82.3940104,,https://gbfs.bcycle.com/bcycle_greenville/gbfs.json,,,
409,['Motivate LLC'],/v2/networks/bay-wheels,bay-wheels,Bay Wheels,"San Francisco Bay Area, CA",US,37.7141454,-122.25,,https://gbfs.baywheels.com/gbfs/gbfs.json,,,
433,"['Bcycle, LLC', 'RTC Southern Nevada, Inc']",/v2/networks/rtc-bike-share,rtc-bike-share,RTC Bike Share,"Las Vegas, NV",US,36.1438,-115.15682,,https://gbfs.bcycle.com/bcycle_rtcbikeshare/gbfs.json,,,
434,"['Bcycle, LLC', 'Embark, Inc']",/v2/networks/spokies,spokies,Spokies BCycle,"Oklahoma, OK",US,35.46436,-97.50888,,https://gbfs.bcycle.com/bcycle_spokies/gbfs.json,,,
577,['DecoBike LLC'],/v2/networks/citi-bike-miami,citi-bike-miami,Citi Bike Miami,"Miami, FL",US,25.790654,-80.1300455,,,,,
588,"['PBSC Urban Solutions', 'Shift Transit']",/v2/networks/tugo-bike-share,tugo-bike-share,Tugo Bike Share,"Tucson, AZ",US,32.2225,-110.9749,,https://tucson.publicbikesystem.net/customer/gbfs/v2/gbfs.json,,,
603,"['Summit County Department of Transportation', 'Wegoshare, Lda']",/v2/networks/summit-bike-share,summit-bike-share,Summit Bike Share,"Park City, UT",US,40.6474,-111.4981,,,,,True
604,"['Richmond Department of Public Works', 'Wegoshare, Lda']",/v2/networks/rva-bikes,rva-bikes,RVA Bike Share,"Richmond, VA",US,37.53833,-77.43464,,,,,True
647,['Bikeshare Hawaii Island'],/v2/networks/gobiki,gobiki,Biki,Honolulu,US,21.3043,-157.856,,https://hon.publicbikesystem.net/customer/ube/gbfs/v1/en/gbfs.json,,,
648,['Bikeshare Hawaii Island'],/v2/networks/hibike,hibike,Hibike,Kailua-Kona,US,19.6417,-155.9962,,https://kona.publicbikesystem.net/customer/ube/gbfs/v1/en/gbfs.json,,,
